fold,classifier,splitter,window,overlap,train_subject_ratio,repeat,score,eval_score,score_balanced_arousal,score_balanced_valence,eval_score_balanced_arousal,eval_score_balanced_valence,score_precision,eval_score_precision,score_recall,eval_score_recall,type
0,0,0,2,0.0,0.25,0,0.47526108543057694,0.30519221111263295,0.6363434794736755,0.719750413355599,0.531937061065269,0.5597891906597541,0.6936164691382937,0.59057489395833,0.630406337961038,0.5592667472591604,features
1,0,0,2,0.0,0.25,0,0.47697312104091766,0.30577432315207964,0.6427821380151061,0.7168157488563055,0.5318410740887819,0.5589253078713708,0.6944169981718087,0.5900754040152905,0.6315701492346579,0.5595116511734545,features
2,0,0,2,0.0,0.25,0,0.47063858928265706,0.3033317353787152,0.6378997677674629,0.7150921933453789,0.5301072750449219,0.5567255606187924,0.6932175521302328,0.5880324685137692,0.6249899718271479,0.5599493517862354,features
3,0,0,2,0.0,0.25,0,0.4785549182433011,0.30575149522896405,0.6425053845499871,0.7232374309795377,0.5309557999170673,0.5609103185451227,0.6969430648248746,0.5903835148141816,0.6367582441160444,0.5610592354829297,features
4,0,0,2,0.0,0.25,0,0.4729047170618954,0.30312057708989637,0.6359306268987837,0.7195953474663388,0.5300707999938569,0.5578850832947557,0.6921025278004613,0.588471721858915,0.6256668883943417,0.5611165534203176,features
0,0,0,2,0.0,0.5,0,0.4453004622496148,0.3012001780578003,0.6229344465660629,0.6769913074330317,0.525491661860558,0.5755039965955876,0.652373141047335,0.6280397983994177,0.6889483518311725,0.4402373886374731,features
1,0,0,2,0.0,0.5,0,0.4407824337627873,0.29860635529379537,0.6196961397013501,0.6733688823663782,0.5223266709033892,0.5755584723212043,0.6547618234222304,0.6260006947912946,0.6800628054799946,0.4401795316599215,features
2,0,0,2,0.0,0.5,0,0.43975516842871204,0.30095192439391866,0.6217092697443078,0.6714008339834502,0.5254025804824232,0.5769498464425429,0.6502001779398874,0.6283999199110353,0.6871696017514719,0.44490143893706524,features
3,0,0,2,0.0,0.5,0,0.4372298078157771,0.3029893165319819,0.6144906182362969,0.6752280722455091,0.5255397229477303,0.5774305146097487,0.6491914156425029,0.6292859051241984,0.6809852768221423,0.4401313985441434,features
4,0,0,2,0.0,0.5,0,0.43889911398364934,0.30439323380358857,0.6152674279720409,0.6770251586253291,0.5275821660917703,0.577830430524864,0.6447166380653773,0.6300711408223539,0.6886515696460619,0.44634105667261115,features
0,0,0,2,0.0,0.75,0,0.4327864174632615,0.2940350636899055,0.6057380642394102,0.6769170115964834,0.5328699264940875,0.5108847342068819,0.6645197712924669,0.570347437234466,0.6840248556688238,0.6202327687227016,features
1,0,0,2,0.0,0.75,0,0.4318733057497503,0.2984351458704287,0.6049998353165154,0.6730526864991182,0.5367849153084052,0.5130499627143923,0.6638788294927962,0.572871277262569,0.682296380423381,0.6207920528390327,features
2,0,0,2,0.0,0.75,0,0.4320730489370809,0.2956101903848788,0.6106739796380576,0.6743852587640837,0.5302369889618211,0.5156359859379993,0.6661476608272987,0.5715216737859398,0.6824247411679064,0.6216320033434127,features
3,0,0,2,0.0,0.75,0,0.4320445141960337,0.29521640871113547,0.6033908002528202,0.6764975220025259,0.5329817833173538,0.5130499627143923,0.6674156843065979,0.571479408372428,0.681780538854083,0.6177958879301161,features
4,0,0,2,0.0,0.75,0,0.43274169615340713,0.2932303794000822,0.6073337191431079,0.6741993655827777,0.5304951200924355,0.5145067646745499,0.667359799545846,0.5712220614425261,0.6810717413698169,0.6177887176209323,features
0,0,0,3,0.0,0.25,0,0.5350425148157691,0.2510307153164296,0.6770928827793092,0.7553142797784423,0.4793095793095793,0.5021169031585698,0.7201054258921726,0.5430238346077767,0.682340552265237,0.389139911014911,features
1,0,0,3,0.0,0.25,0,0.5422571502190158,0.25289459218030647,0.6882552715001785,0.7547905026300896,0.4802721969388636,0.5010947771364438,0.7196713159967533,0.5428767353983377,0.7007651180511221,0.39006784110950776,features
2,0,0,3,0.0,0.25,0,0.5341406853903633,0.2505067683639112,0.6783877320790073,0.756327774610037,0.48196926530259865,0.5018864237614238,0.7141465674212636,0.5445086111186421,0.6937212094852827,0.38769490540323875,features
3,0,0,3,0.0,0.25,0,0.5357557015848473,0.25026626812341096,0.6779614107700271,0.7571533900208096,0.47987999654666325,0.500202922077922,0.7161197309218241,0.5421738463194818,0.6940118901583998,0.3871758257174924,features
4,0,0,3,0.0,0.25,0,0.5316325215822704,0.2507386793101079,0.6765189197287726,0.753035529921509,0.4808173308173308,0.501450517075517,0.7090281544153981,0.5435216896942134,0.6947407231263423,0.39026725589225586,features
0,0,0,3,0.0,0.5,0,0.5351713475908271,0.29477169655741087,0.6842918108170564,0.7295424087136231,0.5260397010397011,0.5141312391312391,0.7253848627490117,0.5553342394197791,0.7377902154693062,0.5269480519480519,features
1,0,0,3,0.0,0.5,0,0.5422276621787026,0.2936250257678829,0.6915582172318699,0.7303637320627925,0.5224821474821475,0.5143375143375144,0.7262939743407824,0.5535487232232672,0.7396746841928936,0.5293410293410293,features
2,0,0,3,0.0,0.5,0,0.5327578432004123,0.2944882498453927,0.6823991571144359,0.7273533834895685,0.5241924741924742,0.5115791615791616,0.7234186279549831,0.5531315768042132,0.7418618182338914,0.5266835016835016,features
3,0,0,3,0.0,0.5,0,0.5385556915544676,0.2967171717171717,0.6878240773216496,0.7277304523798143,0.5239001739001738,0.5163049913049913,0.7247111112077365,0.5554970575562224,0.7383115064656947,0.5237493987493987,features
4,0,0,3,0.0,0.5,0,0.5330155253494814,0.29546742939600085,0.6812515739108537,0.7237096209908631,0.5245152995152995,0.5131738631738632,0.7116514997086052,0.5540908316678252,0.7408953131641385,0.5265752765752766,features
0,0,0,3,0.0,0.75,0,0.45823491518144727,0.3107864357864358,0.6331136034137447,0.6660597319102082,0.5262521043771043,0.5940960406201048,0.669536057818132,0.5747499992565771,0.725087906561127,0.6042763064821888,features
1,0,0,3,0.0,0.75,0,0.4648486149881898,0.3106833642547928,0.6318742149053929,0.6736424490402404,0.5291155603655604,0.5917270489463002,0.6722566490567439,0.5740494619419207,0.7346545117368624,0.6106637099284158,features
2,0,0,3,0.0,0.75,0,0.46278720206141294,0.3110441146155432,0.6356791041211691,0.669375649644155,0.528161075036075,0.5948156121952913,0.6760330371140197,0.5763135882616862,0.7280460028774087,0.6019650284356166,features
