fold,classifier,splitter,window,overlap,train_game_ratio,repeat,score,eval_score,score_balanced_arousal,score_balanced_valence,eval_score_balanced_arousal,eval_score_balanced_valence,score_precision,eval_score_precision,score_recall,eval_score_recall,type
0,0,0,3,0.0,0.25,0,0.7495495495495496,0.030784030784030785,0.4971153846153846,0.502791394335512,0.5002658160552897,0.5076451008945287,0.4139194139194139,0.7281184967560289,0.4923747276688453,0.4956140350877193,raw
1,0,0,3,0.0,0.25,0,0.7279279279279279,0.030663780663780664,0.49616858237547895,0.490553174912349,0.5002559710162049,0.5068938816078404,0.4066543438077634,0.6445961389331047,0.4856512141280353,0.49525961368066634,raw
2,0,0,3,0.0,0.25,0,0.7256317689530686,0.029822029822029823,0.49706457925636005,0.4933920704845815,0.4998030992183039,0.5053105424958972,0.40875912408759124,0.4775284334107863,0.4933920704845815,0.49472798157008685,raw
3,0,0,3,0.0,0.25,0,0.7328519855595668,0.031144781144781145,0.4951171875,0.5018117188395826,0.4999803099218304,0.5058537318262719,0.41452205882352944,0.5610015112527059,0.4912854030501089,0.494240652135389,raw
4,0,0,3,0.0,0.25,0,0.7220216606498195,0.02873977873977874,0.5,0.4922566371681416,0.49971449386654065,0.5047211242863417,0.40676416819012795,0.39404485692188707,0.4922566371681416,0.4950381003012582,raw
5,0,0,3,0.0,0.25,0,0.7189189189189189,0.02958152958152958,0.49610136452241715,0.5016356261176779,0.4999901549609152,0.5044033007419735,0.40925925925925927,0.5606338717572198,0.486784140969163,0.4939305334042176,raw
6,0,0,3,0.0,0.25,0,0.7279279279279279,0.03006253006253006,0.4942857142857143,0.49327354260089684,0.5002559710162049,0.5048424750941913,0.4007285974499089,0.6440785177930134,0.49327354260089684,0.49419634945950736,raw
7,0,0,3,0.0,0.25,0,0.7436823104693141,0.03198653198653199,0.49712643678160917,0.5030636030636031,0.49952743812392936,0.5074544067679079,0.4111111111111111,0.35307663964627856,0.4879120879120879,0.4937090200248095,raw
8,0,0,3,0.0,0.25,0,0.7418772563176895,0.02837902837902838,0.4990118577075099,0.4946236559139785,0.5000886053517632,0.502663939162795,0.41894353369763204,0.7268614745078861,0.4946236559139785,0.49331029594187487,raw
9,0,0,3,0.0,0.25,0,0.7274368231046932,0.029461279461279462,0.4970472440944882,0.4985900877529382,0.5000787603126784,0.5033400365208146,0.41224862888482633,0.6020333170014699,0.4934354485776805,0.4929558745348219,raw
0,0,0,3,0.0,0.5,0,0.6366095581605049,0.07683982683982683,0.5244172727793368,0.7535226598060558,0.4883529169243455,0.5398709315375982,0.6195134849286092,0.6639296187683285,0.3409589925734582,0.15473899997709523,raw
1,0,0,3,0.0,0.5,0,0.6311992786293958,0.07774170274170274,0.5385236945019554,0.7250419504491166,0.4914450628736343,0.5379068462401796,0.7513348588863462,0.6953440345442599,0.32111592111592113,0.1441426739045787,raw
2,0,0,3,0.0,0.5,0,0.6167718665464382,0.07900432900432901,0.5237047283702213,0.7369420920119021,0.4901051329622758,0.5279180695847362,0.7127423822714681,0.6597727272727273,0.31805228256699736,0.1370708215946311,raw
3,0,0,3,0.0,0.5,0,0.6032461677186655,0.07936507936507936,0.5243441383391413,0.7038543256327948,0.4923727066584209,0.537962962962963,0.6533452502553626,0.692582848703037,0.30303623013962444,0.14418848347419777,raw
4,0,0,3,0.0,0.5,0,0.618231046931408,0.07972582972582973,0.5320337443652594,0.7321917058759164,0.48804370232941663,0.5481481481481482,0.6914027149321267,0.6945187165775402,0.32289435081313256,0.15278636707208135,raw
5,0,0,3,0.0,0.5,0,0.6176735798016231,0.07864357864357864,0.5183747412008282,0.721562983414596,0.4914450628736343,0.5398709315375982,0.6527713088029808,0.6998212664139412,0.2939244663382594,0.1360057491009872,raw
6,0,0,3,0.0,0.5,0,0.6113615870153292,0.07575757575757576,0.5167443064182194,0.7102270485659052,0.4894867037724181,0.5361111111111111,0.6012520413718019,0.6936698271054099,0.29040912139503694,0.1498402391259534,raw
7,0,0,3,0.0,0.5,0,0.6239855725879171,0.07990620490620491,0.5329121488943909,0.7274017999499282,0.49536178107606677,0.5338664421997755,0.7142204976032869,0.722946265576633,0.31691682301438395,0.14751826656588563,raw
8,0,0,3,0.0,0.5,0,0.6221821460775473,0.07846320346320346,0.5230503795721186,0.7274435586521069,0.49288806431663573,0.5377384960718294,0.5849523809523809,0.7046761922434589,0.33391994478951,0.16013593989784466,raw
9,0,0,3,0.0,0.5,0,0.6155234657039711,0.07738095238095238,0.5350556004062605,0.7249684642068748,0.4909297052154195,0.5339506172839507,0.7519402985074627,0.6914936914936916,0.31334440753045406,0.1426653152843629,raw
0,0,0,3,0.0,0.75,0,0.4807692307692308,0.13131313131313133,0.6648411169072072,0.6741794021882608,0.43304254667891035,0.5433048433048433,0.6947304384380484,0.5856790951180135,0.6744389751244665,0.48594334957971325,raw
1,0,0,3,0.0,0.75,0,0.5075165363800361,0.13131313131313133,0.6826191322901849,0.6854562199546552,0.42959902050811144,0.5292152292152292,0.6946235505832425,0.5821270160009151,0.7068185402557393,0.47783781874690967,raw
2,0,0,3,0.0,0.75,0,0.48286229705351774,0.12987012987012986,0.6613492251081872,0.689113479650185,0.42240587695133147,0.5398860398860399,0.7292331898333595,0.5753291847041847,0.6640112471126076,0.47155117609663066,raw
3,0,0,3,0.0,0.75,0,0.5003006614552015,0.12373737373737374,0.6863109899132067,0.6784926275121398,0.42837465564738286,0.5314167314167314,0.7308502662038289,0.576976588110787,0.6761776003776905,0.4720809493536766,raw
4,0,0,3,0.0,0.75,0,0.49128081779915816,0.12445887445887446,0.6727601472779872,0.6782790995380885,0.42294153657790023,0.5329189329189329,0.7175063067782358,0.5768710140634296,0.6787272219053696,0.478756092392456,raw
5,0,0,3,0.0,0.75,0,0.47836538461538464,0.12806637806637808,0.6680191134058162,0.6569326741996233,0.43151209060299967,0.53991193991194,0.6967276601530832,0.5844619967288759,0.6674239505999906,0.48506039415130325,raw
6,0,0,3,0.0,0.75,0,0.47805171377029465,0.13203463203463203,0.6640708447670473,0.6731098952542571,0.4157483930211203,0.5458430458430459,0.6868102716468591,0.5779180213820226,0.6741790817877774,0.48431871159143886,raw
7,0,0,3,0.0,0.75,0,0.4882742032471437,0.12481962481962482,0.6529631230320083,0.6960785179819253,0.4090143862871135,0.5469049469049468,0.6989711251244606,0.5691737095461366,0.6708954045375586,0.48218195945468667,raw
